Time [s],CH1[V],
3.2999957e-04,-0.00000e+00,
3.3199956e-04,-0.00000e+00,
3.3399955e-04,4.00000e-02,
3.3599953e-04,-0.00000e+00,
3.3799952e-04,-0.00000e+00,
3.3999950e-04,-0.00000e+00,
3.4199949e-04,4.00000e-02,
3.4399948e-04,-0.00000e+00,
3.4599946e-04,-0.00000e+00,
3.4799945e-04,-0.00000e+00,
3.4999943e-04,-0.00000e+00,
3.5199942e-04,-0.00000e+00,
3.5399941e-04,-0.00000e+00,
3.5599939e-04,-0.00000e+00,
3.5799938e-04,-7.99999e-02,
3.5999937e-04,-0.00000e+00,
3.6199935e-04,-0.00000e+00,
3.6399934e-04,-0.00000e+00,
3.6599932e-04,-0.00000e+00,
3.6799931e-04,-0.00000e+00,
3.6999930e-04,-7.99999e-02,
3.7199928e-04,-0.00000e+00,
3.7399927e-04,-0.00000e+00,
3.7599925e-04,-0.00000e+00,
3.7799924e-04,-0.00000e+00,
3.7999923e-04,-0.00000e+00,
3.8199921e-04,-0.00000e+00,
3.8399920e-04,-0.00000e+00,
3.8599918e-04,-7.99999e-02,
3.8799917e-04,-0.00000e+00,
3.8999916e-04,-0.00000e+00,
3.9199914e-04,-0.00000e+00,
3.9399913e-04,-0.00000e+00,
3.9599912e-04,-0.00000e+00,
3.9799910e-04,-0.00000e+00,
3.9999909e-04,-0.00000e+00,
4.0199907e-04,-0.00000e+00,
4.0399906e-04,-0.00000e+00,
4.0599905e-04,-0.00000e+00,
4.0799903e-04,-0.00000e+00,
4.0999902e-04,-0.00000e+00,
4.1199900e-04,-0.00000e+00,
4.1399899e-04,-7.99999e-02,
4.1599898e-04,-0.00000e+00,
4.1799896e-04,-0.00000e+00,
4.1999895e-04,-0.00000e+00,
4.2199894e-04,-0.00000e+00,
4.2399892e-04,-0.00000e+00,
4.2599891e-04,-0.00000e+00,
4.2799889e-04,-0.00000e+00,
4.2999888e-04,-0.00000e+00,
4.3199887e-04,-0.00000e+00,
4.3399885e-04,-0.00000e+00,
4.3599884e-04,-0.00000e+00,
4.3799882e-04,-0.00000e+00,
4.3999881e-04,-0.00000e+00,
4.4199880e-04,-0.00000e+00,
4.4399878e-04,-0.00000e+00,
4.4599877e-04,-7.99999e-02,
4.4799875e-04,-0.00000e+00,
4.4999874e-04,-7.99999e-02,
4.5199873e-04,-0.00000e+00,
4.5399871e-04,-7.99999e-02,
4.5599870e-04,-0.00000e+00,
4.5799869e-04,-7.99999e-02,
4.5999867e-04,-0.00000e+00,
4.6199866e-04,-0.00000e+00,
4.6399864e-04,-0.00000e+00,
4.6599863e-04,-7.99999e-02,
4.6799862e-04,-0.00000e+00,
4.6999860e-04,-0.00000e+00,
4.7199859e-04,-0.00000e+00,
4.7399857e-04,-7.99999e-02,
4.7599856e-04,-0.00000e+00,
4.7799855e-04,-7.99999e-02,
4.7999853e-04,-0.00000e+00,
4.8199852e-04,-0.00000e+00,
4.8399850e-04,-0.00000e+00,
4.8599849e-04,-0.00000e+00,
4.8799848e-04,-0.00000e+00,
4.8999849e-04,-7.99999e-02,
4.9199851e-04,-0.00000e+00,
4.9399852e-04,-0.00000e+00,
4.9599854e-04,-0.00000e+00,
4.9799855e-04,-0.00000e+00,
4.9999857e-04,-0.00000e+00,
5.0199858e-04,-0.00000e+00,
5.0399860e-04,-0.00000e+00,
5.0599861e-04,-0.00000e+00,
5.0799863e-04,-0.00000e+00,
5.0999864e-04,-7.99999e-02,
5.1199866e-04,-0.00000e+00,
5.1399868e-04,-0.00000e+00,
5.1599869e-04,-0.00000e+00,
5.1799871e-04,-7.99999e-02,
5.1999872e-04,-0.00000e+00,
5.2199874e-04,-0.00000e+00,
5.2399875e-04,-0.00000e+00,
5.2599877e-04,-0.00000e+00,
5.2799878e-04,-0.00000e+00,
5.2999880e-04,-0.00000e+00,
5.3199881e-04,-0.00000e+00,
5.3399883e-04,-7.99999e-02,
5.3599884e-04,-0.00000e+00,
5.3799886e-04,-0.00000e+00,
5.3999887e-04,-0.00000e+00,
5.4199889e-04,-0.00000e+00,
5.4399890e-04,-0.00000e+00,
5.4599892e-04,-0.00000e+00,
5.4799893e-04,-0.00000e+00,
5.4999895e-04,-7.99999e-02,
5.5199896e-04,-0.00000e+00,
5.5399898e-04,-0.00000e+00,
5.5599899e-04,-0.00000e+00,
5.5799901e-04,-7.99999e-02,
5.5999903e-04,-0.00000e+00,
5.6199904e-04,-7.99999e-02,
5.6399906e-04,-0.00000e+00,
5.6599907e-04,-0.00000e+00,
5.6799909e-04,-0.00000e+00,
5.6999910e-04,-0.00000e+00,
5.7199912e-04,-0.00000e+00,
5.7399913e-04,-0.00000e+00,
5.7599915e-04,-0.00000e+00,
5.7799916e-04,-0.00000e+00,
5.7999918e-04,-7.99999e-02,
5.8199919e-04,-0.00000e+00,
5.8399921e-04,-0.00000e+00,
5.8599922e-04,-0.00000e+00,
5.8799924e-04,-0.00000e+00,
5.8999925e-04,-7.99999e-02,
5.9199927e-04,-0.00000e+00,
5.9399928e-04,-0.00000e+00,
5.9599930e-04,-0.00000e+00,
5.9799931e-04,-7.99999e-02,
5.9999933e-04,-0.00000e+00,
6.0199935e-04,-0.00000e+00,
6.0399936e-04,-0.00000e+00,
