Time[s],CH1[V],CH2[V],
1.1760036e-04,3.24000e+00,-7.99999e-02,
1.1800037e-04,-1.20000e-01,7.99999e-02,
1.1840037e-04,-1.20000e-01,-7.99999e-02,
1.1880037e-04,-7.99999e-02,-0.00000e+00,
1.1920038e-04,-7.99999e-02,-7.99999e-02,
1.1960038e-04,-7.99999e-02,-0.00000e+00,
1.2000038e-04,-7.99999e-02,-0.00000e+00,
1.2040039e-04,-7.99999e-02,-7.99999e-02,
1.2080039e-04,-4.00000e-02,-0.00000e+00,
1.2120039e-04,-7.99999e-02,-7.99999e-02,
1.2160039e-04,-4.00000e-02,4.40000e-01,
1.2200040e-04,-7.99999e-02,3.00000e+00,
1.2240039e-04,-4.00000e-02,3.08000e+00,
1.2280040e-04,-4.00000e-02,3.28000e+00,
1.2320040e-04,-4.00000e-02,3.28000e+00,
1.2360040e-04,-4.00000e-02,3.32000e+00,
1.2400041e-04,-4.00000e-02,3.32000e+00,
1.2440041e-04,-7.99999e-02,3.28000e+00,
1.2480041e-04,-4.00000e-02,3.32000e+00,
1.2520041e-04,-4.00000e-02,3.28000e+00,
1.2560042e-04,-4.00000e-02,3.28000e+00,
1.2600042e-04,-4.00000e-02,3.28000e+00,
1.2640042e-04,-4.00000e-02,3.28000e+00,
1.2680043e-04,1.20001e-01,-6.80000e-01,
1.2720043e-04,-4.00000e-02,-7.99999e-02,
1.2760043e-04,-4.00000e-02,-7.99999e-02,
1.2800044e-04,-4.00000e-02,-7.99999e-02,
1.2840044e-04,-4.00000e-02,-7.99999e-02,
1.2880044e-04,-4.00000e-02,-7.99999e-02,
1.2920045e-04,-4.00000e-02,-0.00000e+00,
1.2960045e-04,-4.00000e-02,-7.99999e-02,
1.3000045e-04,-4.00000e-02,-0.00000e+00,
1.3040045e-04,-4.00000e-02,-0.00000e+00,
1.3080046e-04,-4.00000e-02,-7.99999e-02,
1.3120046e-04,-4.00000e-02,-0.00000e+00,
1.3160046e-04,-4.00000e-02,-7.99999e-02,
1.3200047e-04,-4.00000e-02,8.40000e-01,
1.3240047e-04,-0.00000e+00,3.04000e+00,
1.3280047e-04,-4.00000e-02,3.12000e+00,
1.3320048e-04,-4.00000e-02,3.28000e+00,
1.3360048e-04,-4.00000e-02,3.28000e+00,
1.3400048e-04,-0.00000e+00,3.32000e+00,
1.3440048e-04,-4.00000e-02,3.28000e+00,
1.3480049e-04,-0.00000e+00,3.32000e+00,
1.3520049e-04,-4.00000e-02,3.28000e+00,
1.3560049e-04,-0.00000e+00,3.28000e+00,
1.3600050e-04,-4.00000e-02,3.28000e+00,
1.3640050e-04,-4.00000e-02,3.28000e+00,
1.3680050e-04,-4.00000e-02,3.28000e+00,
1.3720051e-04,-0.00000e+00,-7.99999e-02,
1.3760051e-04,-4.00000e-02,-7.99999e-02,
1.3800051e-04,-4.00000e-02,-7.99999e-02,
1.3840052e-04,-4.00000e-02,-7.99999e-02,
1.3880052e-04,-4.00000e-02,-7.99999e-02,
1.3920052e-04,-4.00000e-02,-7.99999e-02,
1.3960052e-04,-4.00000e-02,-0.00000e+00,
1.4000053e-04,-4.00000e-02,-7.99999e-02,
1.4040053e-04,-4.00000e-02,-0.00000e+00,
1.4080053e-04,-4.00000e-02,-0.00000e+00,
1.4120054e-04,-4.00000e-02,-7.99999e-02,
1.4160054e-04,-0.00000e+00,-0.00000e+00,
1.4200054e-04,-4.00000e-02,-7.99999e-02,
1.4240055e-04,-0.00000e+00,4.40000e-01,
1.4280055e-04,-4.00000e-02,3.00000e+00,
1.4320055e-04,-0.00000e+00,3.08000e+00,
1.4360056e-04,-4.00000e-02,3.28000e+00,
1.4400056e-04,-4.00000e-02,3.28000e+00,
1.4440056e-04,-0.00000e+00,3.32000e+00,
1.4480056e-04,-4.00000e-02,3.32000e+00,
1.4520057e-04,-4.00000e-02,3.28000e+00,
1.4560057e-04,-4.00000e-02,3.28000e+00,
1.4600057e-04,-4.00000e-02,3.32000e+00,
1.4640058e-04,-0.00000e+00,3.28000e+00,
1.4680058e-04,-4.00000e-02,3.32000e+00,
1.4720058e-04,-4.00000e-02,3.32000e+00,
1.4760059e-04,1.60001e-01,-6.80000e-01,
1.4800059e-04,-4.00000e-02,-7.99999e-02,
1.4840059e-04,-0.00000e+00,-7.99999e-02,
1.4880059e-04,-4.00000e-02,-7.99999e-02,
1.4920060e-04,-4.00000e-02,-7.99999e-02,
1.4960060e-04,-4.00000e-02,-7.99999e-02,
1.5000060e-04,-4.00000e-02,-7.99999e-02,
1.5040061e-04,-4.00000e-02,-0.00000e+00,
1.5080061e-04,-4.00000e-02,-7.99999e-02,
1.5120061e-04,-4.00000e-02,-7.99999e-02,
1.5160062e-04,-4.00000e-02,-0.00000e+00,
1.5200062e-04,-4.00000e-02,-7.99999e-02,
1.5240062e-04,-4.00000e-02,-0.00000e+00,
1.5280063e-04,-4.00000e-02,8.40000e-01,
1.5320063e-04,-0.00000e+00,3.04000e+00,
1.5360063e-04,-4.00000e-02,3.08000e+00,
1.5400063e-04,-4.00000e-02,3.28000e+00,
1.5440064e-04,-4.00000e-02,3.28000e+00,
1.5480064e-04,-0.00000e+00,3.32000e+00,
1.5520064e-04,-0.00000e+00,3.32000e+00,
1.5560065e-04,-4.00000e-02,3.28000e+00,
1.5600065e-04,-4.00000e-02,3.28000e+00,
1.5640065e-04,-0.00000e+00,3.32000e+00,
1.5680066e-04,-4.00000e-02,3.24000e+00,
1.5720066e-04,-0.00000e+00,3.28000e+00,
1.5760066e-04,-4.00000e-02,3.28000e+00,
1.5800066e-04,-0.00000e+00,-7.99999e-02,
1.5840067e-04,-4.00000e-02,-7.99999e-02,
1.5880067e-04,-4.00000e-02,-7.99999e-02,
1.5920067e-04,-4.00000e-02,-7.99999e-02,
1.5960068e-04,-0.00000e+00,-7.99999e-02,
1.6000068e-04,-4.00000e-02,-7.99999e-02,
1.6040068e-04,-4.00000e-02,-0.00000e+00,
1.6080069e-04,-4.00000e-02,-7.99999e-02,
1.6120069e-04,-4.00000e-02,-0.00000e+00,
1.6160069e-04,-4.00000e-02,-0.00000e+00,
1.6200070e-04,-4.00000e-02,-7.99999e-02,
1.6240070e-04,-4.00000e-02,-7.99999e-02,
1.6280070e-04,-4.00000e-02,4.80000e-01,
1.6320070e-04,-0.00000e+00,1.16000e+00,
1.6360071e-04,-4.00000e-02,3.08000e+00,
1.6400071e-04,-4.00000e-02,3.12000e+00,
1.6440071e-04,-0.00000e+00,3.28000e+00,
1.6480072e-04,-4.00000e-02,3.32000e+00,
1.6520072e-04,-0.00000e+00,3.28000e+00,
1.6560072e-04,-4.00000e-02,3.32000e+00,
1.6600073e-04,-0.00000e+00,3.28000e+00,
1.6640073e-04,-4.00000e-02,3.28000e+00,
1.6680073e-04,-0.00000e+00,3.32000e+00,
1.6720073e-04,-4.00000e-02,3.28000e+00,
1.6760074e-04,-4.00000e-02,3.32000e+00,
1.6800074e-04,-4.00000e-02,3.28000e+00,
1.6840074e-04,2.00001e-01,-6.80000e-01,
1.6880075e-04,-4.00000e-02,-7.99999e-02,
1.6920075e-04,-4.00000e-02,-7.99999e-02,
1.6960075e-04,-4.00000e-02,-1.20000e-01,
1.7000076e-04,2.92000e+00,-0.00000e+00,
1.7040076e-04,3.04000e+00,-7.99999e-02,
1.7080076e-04,3.28000e+00,-0.00000e+00,
1.7120077e-04,3.32000e+00,-7.99999e-02,
1.7160077e-04,3.28000e+00,-0.00000e+00,
1.7200077e-04,3.28000e+00,-7.99999e-02,
1.7240077e-04,3.32000e+00,-0.00000e+00,
1.7280078e-04,3.28000e+00,-7.99999e-02,
1.7320078e-04,3.40000e+00,8.40000e-01,
1.7360078e-04,3.44000e+00,1.44000e+00,
1.7400079e-04,3.36000e+00,3.12000e+00,
1.7440079e-04,3.36000e+00,3.16000e+00,
1.7480079e-04,3.28000e+00,3.28000e+00,
1.7520080e-04,3.32000e+00,3.28000e+00,
1.7560080e-04,3.24000e+00,3.32000e+00,
1.7600080e-04,3.28000e+00,3.32000e+00,
1.7640080e-04,3.24000e+00,3.28000e+00,
1.7680081e-04,3.28000e+00,3.32000e+00,
1.7720081e-04,3.24000e+00,3.28000e+00,
1.7760081e-04,3.28000e+00,3.28000e+00,
1.7800082e-04,3.28000e+00,3.32000e+00,
1.7840082e-04,3.28000e+00,3.28000e+00,
1.7880082e-04,-7.99999e-02,-1.20000e-01,
1.7920083e-04,-1.20000e-01,-7.99999e-02,
1.7960083e-04,-4.00000e-02,-7.99999e-02,
1.8000083e-04,-7.99999e-02,-7.99999e-02,
1.8040084e-04,-4.00000e-02,-7.99999e-02,
1.8080084e-04,-4.00000e-02,-7.99999e-02,
1.8120084e-04,-7.99999e-02,-0.00000e+00,
1.8160084e-04,-4.00000e-02,-7.99999e-02,
